IDfg,Season,Name,Team,Age,IBB,SO,SB,BU,BABIP,IFH%,WAR,Spd,PH,CB%,O-Contact%,wGDP,Oppo%,OBP+,SLG+,Pull%+,Soft%+,Hard%+,L-WAR
9927,2015,Brett Gardner,NYY,0.46153846153846145,0.008333333333333333,0.5906976744186047,0.2564102564102564,0.21348314606741572,0.5458167330677292,0.31818181818181823,0.36645962732919257,0.577319587628866,0.060240963855421686,0.26470588235294124,0.6445086705202312,0.6944444444444444,0.5174262734584452,0.4365079365079365,0.33812949640287765,0.36206896551724144,0.29213483146067415,0.4013605442176871,0.36645962732919257
9927,2016,Brett Gardner,NYY,0.5,0.0,0.45581395348837206,0.20512820512820512,0.11235955056179775,0.5378486055776893,0.2520661157024794,0.3788819875776398,0.6082474226804124,0.060240963855421686,0.44852941176470584,0.7817919075144508,0.6759259259259258,0.4450402144772119,0.4444444444444444,0.2517985611510792,0.3275862068965517,0.3651685393258427,0.34013605442176864,0.3726708074534162
9927,2017,Brett Gardner,NYY,0.5384615384615385,0.016666666666666666,0.5302325581395348,0.2948717948717949,0.11235955056179775,0.49800796812749015,0.3553719008264463,0.4596273291925466,0.6082474226804124,0.10843373493975904,0.42647058823529405,0.7326589595375721,0.6851851851851851,0.4209115281501343,0.4365079365079365,0.35251798561151076,0.4137931034482759,0.4662921348314606,0.3877551020408163,0.4596273291925466
9927,2018,Brett Gardner,NYY,0.5769230769230769,0.0,0.4604651162790698,0.20512820512820512,0.07865168539325842,0.3864541832669325,0.47933884297520624,0.36024844720496896,0.7422680412371134,0.0963855421686747,0.3602941176470589,0.7760115606936415,0.611111111111111,0.4021447721179627,0.38095238095238093,0.2733812949640288,0.3793103448275862,0.4775280898876404,0.3129251700680272,0.3726708074534162
9927,2019,Brett Gardner,NYY,0.6153846153846154,0.0,0.4651162790697675,0.1282051282051282,0.06741573033707865,0.35856573705179284,0.2685950413223141,0.4161490683229814,0.6804123711340206,0.03614457831325302,0.4632352941176471,0.6647398843930634,0.6666666666666666,0.24396782841823078,0.38095238095238093,0.46043165467625896,0.5862068965517241,0.5449438202247191,0.4013605442176871,0.4347826086956522
9929,2013,Darin Ruf,PHI,0.26923076923076916,0.008333333333333333,0.386046511627907,0.0,0.0,0.5936254980079682,0.3140495867768595,0.26086956521739135,0.11340206185567009,0.012048192771084338,0.40441176470588236,0.4378612716763005,0.574074074074074,0.20107238605898142,0.4365079365079365,0.46043165467625896,0.689655172413793,0.15730337078651685,0.5986394557823129,0.26086956521739135
9929,2015,Darin Ruf,PHI,0.34615384615384626,0.0,0.2837209302325581,0.01282051282051282,0.0,0.3705179282868528,0.045454545454545456,0.19254658385093168,0.21649484536082475,0.3493975903614458,0.6176470588235294,0.5332369942196531,0.5185185185185185,0.11260053619302973,0.30952380952380953,0.3669064748201439,0.706896551724138,0.29213483146067415,0.5850340136054422,0.19254658385093168
9929,2021,Darin Ruf,SFG,0.5769230769230769,0.016666666666666666,0.3674418604651163,0.02564102564102564,0.0,0.6733067729083665,0.11157024793388431,0.38509316770186336,0.4123711340206185,0.5783132530120483,0.42647058823529405,0.5534682080924854,0.4907407407407407,0.25201072386059004,0.5158730158730159,0.525179856115108,0.5603448275862069,0.3089887640449438,0.619047619047619,0.36645962732919257
9952,2016,Trayce Thompson,LAD,0.23076923076923073,0.0,0.2697674418604651,0.0641025641025641,0.0,0.3187250996015937,0.23553719008264465,0.25465838509316774,0.37113402061855666,0.1566265060240964,0.3161764705882353,0.5491329479768785,0.6388888888888888,0.14745308310991984,0.3015873015873016,0.381294964028777,0.5344827586206896,0.4550561797752809,0.44217687074829926,0.26086956521739135
9957,2014,Steve Pearce,BAL,0.46153846153846145,0.008333333333333333,0.31627906976744186,0.0641025641025641,0.0,0.5856573705179283,0.359504132231405,0.49068322981366463,0.34020618556701027,0.1566265060240964,0.38970588235294046,0.5635838150289016,0.611111111111111,0.12600536193029516,0.5158730158730159,0.6618705035971224,0.7327586206896551,0.33146067415730335,0.5918367346938775,0.49068322981366463
9957,2015,Steve Pearce,BAL,0.5,0.008333333333333333,0.2837209302325581,0.01282051282051282,0.0,0.2270916334661356,0.16115702479338845,0.2173913043478261,0.34020618556701027,0.12048192771084337,0.3970588235294118,0.5838150289017341,0.4629629629629629,0.23592493297587153,0.3015873015873016,0.3741007194244604,0.6982758620689654,0.3707865168539326,0.4965986394557823,0.2173913043478261
9957,2016,Steve Pearce,- - -,0.5384615384615385,0.016666666666666666,0.21395348837209305,0.0,0.0,0.5697211155378487,0.5,0.3229813664596274,0.21649484536082475,0.10843373493975904,0.42647058823529405,0.40173410404624277,0.537037037037037,0.18498659517426297,0.5,0.4748201438848921,0.5689655172413793,0.33146067415730335,0.5306122448979591,0.34161490683229817
9957,2017,Steve Pearce,TOR,0.5769230769230769,0.008333333333333333,0.27906976744186046,0.0,0.0,0.42231075697211173,0.3677685950413223,0.2173913043478261,0.18556701030927833,0.10843373493975904,0.5367647058823521,0.6184971098265896,0.4629629629629629,0.30563002680965173,0.3571428571428571,0.3741007194244604,0.5172413793103449,0.449438202247191,0.510204081632653,0.2173913043478261
9981,2010,Michael Saunders,SEA,0.15384615384615385,0.0,0.35348837209302325,0.07692307692307693,0.15730337078651685,0.33864541832669326,0.17768595041322316,0.24844720496894412,0.422680412371134,0.04819277108433735,0.4558823529411764,0.46965317919075145,0.6481481481481481,0.28150134048257397,0.2936507936507936,0.2877697841726619,0.6120689655172414,0.646067415730337,0.3877551020408163,0.24844720496894412
9981,2012,Michael Saunders,SEA,0.23076923076923073,0.0,0.5767441860465116,0.2692307692307692,0.11235955056179775,0.4860557768924304,0.3223140495867769,0.36024844720496896,0.6288659793814433,0.060240963855421686,0.4779411764705882,0.5447976878612716,0.6944444444444444,0.2922252010723863,0.3412698412698413,0.3956834532374101,0.6120689655172414,0.3146067415730337,0.5918367346938775,0.36024844720496896
9981,2013,Michael Saunders,SEA,0.26923076923076916,0.03333333333333333,0.5116279069767442,0.16666666666666666,0.10112359550561797,0.4900398406374503,0.17768595041322316,0.31677018633540377,0.577319587628866,0.04819277108433735,0.44852941176470584,0.4624277456647399,0.6666666666666666,0.4530831099195712,0.38095238095238093,0.34532374100719426,0.4224137931034483,0.3089887640449438,0.564625850340136,0.31677018633540377
9981,2014,Michael Saunders,SEA,0.3076923076923077,0.008333333333333333,0.2372093023255814,0.05128205128205128,0.11235955056179775,0.6055776892430279,0.41322314049586784,0.32919254658385094,0.5257731958762887,0.07228915662650603,0.5661764705882353,0.5028901734104045,0.6018518518518517,0.30563002680965173,0.4365079365079365,0.4676258992805756,0.4913793103448276,0.15730337078651685,0.6530612244897959,0.32919254658385094
9981,2016,Michael Saunders,TOR,0.3846153846153846,0.016666666666666666,0.6930232558139535,0.01282051282051282,0.033707865168539325,0.5816733067729084,0.21074380165289258,0.34161490683229817,0.29896907216494845,0.0963855421686747,0.42647058823529405,0.4104046242774566,0.40740740740740733,0.37265415549597875,0.4126984126984127,0.45323741007194246,0.4913793103448276,0.3426966292134831,0.5918367346938775,0.31055900621118016
10028,2016,Christian Bethancourt,SDP,0.1923076923076923,0.0,0.22325581395348837,0.01282051282051282,0.0,0.45019920318725093,0.38842975206611574,0.2111801242236025,0.21649484536082475,0.24096385542168675,0.375,0.5722543352601155,0.40740740740740733,0.27613941018766747,0.2142857142857143,0.2589928057553957,0.47413793103448276,0.3539325842696629,0.36734693877551017,0.1987577639751553
10030,2014,Chris Owings,ARI,0.11538461538461542,0.0,0.2744186046511628,0.10256410256410256,0.056179775280898875,0.553784860557769,0.3057851239669422,0.30434782608695654,0.6907216494845361,0.1566265060240964,0.41176470588235303,0.6690751445086706,0.6203703703703703,0.43699731903485245,0.32539682539682546,0.381294964028777,0.3448275862068966,0.4606741573033708,0.3877551020408163,0.30434782608695654
10030,2015,Chris Owings,ARI,0.15384615384615385,0.025,0.6325581395348837,0.20512820512820512,0.20224719101123595,0.5179282868525897,0.2892561983471075,0.14285714285714285,0.6804123711340206,0.12048192771084337,0.38970588235294046,0.5231213872832369,0.6203703703703703,0.412868632707775,0.23015873015873012,0.20863309352517984,0.48275862068965514,0.3595505617977528,0.4625850340136054,0.14285714285714285
10030,2016,Chris Owings,ARI,0.1923076923076923,0.03333333333333333,0.3674418604651163,0.2692307692307692,0.0898876404494382,0.6334661354581675,0.2892561983471075,0.2670807453416149,0.7938144329896907,0.04819277108433735,0.5955882352941176,0.621387283236994,0.5833333333333333,0.4450402144772119,0.33333333333333337,0.34532374100719426,0.3275862068965517,0.4101123595505618,0.41496598639455773,0.2732919254658385
10030,2017,Chris Owings,ARI,0.23076923076923073,0.0,0.3674418604651163,0.15384615384615385,0.06741573033707865,0.5697211155378487,0.35123966942148765,0.2298136645962733,0.49484536082474223,0.07228915662650603,0.713235294117647,0.5765895953757225,0.6574074074074073,0.44235924932975895,0.2936507936507936,0.3669064748201439,0.47413793103448276,0.3426966292134831,0.45578231292517,0.2298136645962733
10047,2013,Wil Myers,TBR,0.11538461538461542,0.05,0.386046511627907,0.0641025641025641,0.0,0.7450199203187252,0.36363636363636365,0.35403726708074534,0.3298969072164948,0.03614457831325302,0.6102941176470589,0.5173410404624277,0.4907407407407407,0.2412868632707777,0.45238095238095244,0.4892086330935252,0.5948275862068966,0.2696629213483146,0.6530612244897959,0.35403726708074534
10047,2014,Wil Myers,TBR,0.15384615384615385,0.025,0.38139534883720927,0.07692307692307693,0.0,0.4422310756972111,0.5454545454545455,0.20496894409937888,0.3814432989690721,0.03614457831325302,0.3382352941176471,0.49710982658959535,0.4259259259259259,0.30026809651474556,0.31746031746031744,0.23021582733812945,0.6379310344827586,0.3202247191011236,0.5238095238095237,0.20496894409937888
